code,age,ageValue
E09000024,age46,3197
E09000024,age47,3019
E09000024,age48,3167
E09000024,age49,3001
E09000024,age50,2918
E09000024,age51,2920
E09000024,age52,2910
E09000024,age53,2924
E09000024,age54,2810
E09000024,age55,2777
E09000024,age56,2547
E09000024,age57,2540
E09000024,age58,2443
E09000024,age59,2277
E09000024,age60,2281
E09000024,age61,2151
E09000024,age62,2010
E09000024,age63,1887
E09000024,age64,1922
E09000025,age16,4546
E09000025,age17,4325
E09000025,age18,4504
E09000025,age19,4391
E09000025,age20,4559
E09000025,age21,4882
E09000025,age22,5719
E09000025,age23,6380
E09000025,age24,6745
E09000025,age25,7121
E09000025,age26,7143
E09000025,age27,7160
E09000025,age28,7460
E09000025,age29,7150
E09000025,age30,7475
E09000025,age31,7449
E09000025,age32,7267
E09000025,age33,7427
E09000025,age34,7083
E09000025,age35,6954
E09000025,age36,6854
E09000025,age37,6514
E09000025,age38,6196
E09000025,age39,6011
E09000025,age40,5975
E09000025,age41,5925
E09000025,age42,5573
E09000025,age43,5011
E09000025,age44,4912
E09000025,age45,4933
E09000025,age46,4771
E09000025,age47,4596
E09000025,age48,4251
E09000025,age49,4216
E09000025,age50,4459
E09000025,age51,4484
E09000025,age52,4064
E09000025,age53,3868
E09000025,age54,3585
E09000025,age55,3560
E09000025,age56,3323
E09000025,age57,3384
E09000025,age58,3137
E09000025,age59,2897
E09000025,age60,2948
E09000025,age61,2710
E09000025,age62,2514
E09000025,age63,2348
E09000025,age64,2250
E09000026,age16,4104
E09000026,age17,4248
E09000026,age18,3675
E09000026,age19,3398
E09000026,age20,3229
E09000026,age21,3507
E09000026,age22,3792
E09000026,age23,4075
E09000026,age24,4364
E09000026,age25,4274
E09000026,age26,4173
E09000026,age27,4245
E09000026,age28,4494
E09000026,age29,4549
E09000026,age30,4804
E09000026,age31,4818
E09000026,age32,5084
E09000026,age33,5091
E09000026,age34,5107
E09000026,age35,5085
E09000026,age36,5494
E09000026,age37,5203
E09000026,age38,5294
E09000026,age39,5152
E09000026,age40,5367
E09000026,age41,5177
E09000026,age42,4781
E09000026,age43,4805
E09000026,age44,4654
E09000026,age45,4465
E09000026,age46,4278
E09000026,age47,4310
E09000026,age48,4168
