code,category,value
E14000647,skilledTrade,5094
E14000647,service,3384
E14000647,sales,2335
E14000647,manual,3147
E14000647,elementary,4264
E14000648,N/A,64370
E14000648,management,8164
E14000648,professional,9336
E14000648,technical,7190
E14000648,admin,5907
E14000648,skilledTrade,6823
E14000648,service,5260
E14000648,sales,4616
E14000648,manual,7110
E14000648,elementary,10689
E14000649,N/A,69402
E14000649,management,3963
E14000649,professional,9077
E14000649,technical,5606
E14000649,admin,4816
E14000649,skilledTrade,4804
E14000649,service,5829
E14000649,sales,4914
E14000649,manual,5850
E14000649,elementary,10152
E14000650,N/A,57685
E14000650,management,4624
E14000650,professional,9361
E14000650,technical,6256
E14000650,admin,4864
E14000650,skilledTrade,4881
E14000650,service,4451
E14000650,sales,4018
E14000650,manual,4257
E14000650,elementary,6892
E14000651,N/A,68097
E14000651,management,4367
E14000651,professional,10396
E14000651,technical,5438
E14000651,admin,3972
E14000651,skilledTrade,3592
E14000651,service,4100
E14000651,sales,3638
E14000651,manual,3164
E14000651,elementary,6860
E14000652,N/A,59592
E14000652,management,5955
E14000652,professional,8798
E14000652,technical,7254
E14000652,admin,5770
